track_id,name,artists,album,album_type,album_total_tracks,album_release_date,popularity,duration_ms,explicit,available_markets,spotify_link,emotion,artist_popularity,artist_followers,artist_genres,num_artists,is_collaboration,avg_artist_popularity
4piyxfj7nqaKm6jSiYqVSQ,Void,"Moises Daniel, Eva Brönner",Void,single,1,8/12/2022,21,101272,FALSE,185,https://open.spotify.com/track/4piyxfj7nqaKm6jSiYqVSQ,love,36,1653,,2,TRUE,37
6pNxY4tgNWIPXjPm0jxMVO,An Old End,Igor Ferreira,An Old End,single,1,9/2/2022,0,314999,FALSE,0,https://open.spotify.com/track/6pNxY4tgNWIPXjPm0jxMVO,love,28,1301,,1,FALSE,28
0R3l3K5yUpaxCmtJYGWBCL,Fractures,Riccardo Pietri,Fractures,single,1,6/25/2021,36,223306,FALSE,185,https://open.spotify.com/track/0R3l3K5yUpaxCmtJYGWBCL,love,42,2576,,1,FALSE,42
5bIQZzJA36XZHBp0UOMYaf,Desde mi ventana - Piano and Cello Version,"Andrés Martín, El Chelista",Desde mi ventana (Piano and Cello Version),single,1,5/10/2024,13,165405,FALSE,185,https://open.spotify.com/track/5bIQZzJA36XZHBp0UOMYaf,love,42,1568,,2,TRUE,32.5
1jbSNzmEPqCLFhrggsz8JM,Black Sands - Extended,Philipp Knutzen,Black Sands,single,2,11/25/2022,14,180365,FALSE,185,https://open.spotify.com/track/1jbSNzmEPqCLFhrggsz8JM,love,26,575,,1,FALSE,26
5RhvImryu08EdspUgiuxDS,Journey,Mindy Chuang,Journey,single,1,4/15/2022,22,124776,FALSE,185,https://open.spotify.com/track/5RhvImryu08EdspUgiuxDS,love,40,2304,new age,1,FALSE,40
6ZOw7w7LEHfrVdkVKAFLpf,Particles,Theodosius Bates,Particles,single,1,3/19/2021,16,114248,FALSE,185,https://open.spotify.com/track/6ZOw7w7LEHfrVdkVKAFLpf,love,15,291,,1,FALSE,15
6YGxe1KbvkGbNP9BIFhoMg,Broken,Martin Czerny,Sad Cello & Piano Collection,album,15,12/6/2019,19,309500,FALSE,185,https://open.spotify.com/track/6YGxe1KbvkGbNP9BIFhoMg,love,55,16647,,1,FALSE,55
38AqOIAlf3gAHdFJ81ANaO,Sea Energise,Julia Thomsen,Sea Energise,single,6,8/3/2020,34,119752,FALSE,185,https://open.spotify.com/track/38AqOIAlf3gAHdFJ81ANaO,love,38,5459,neoclassical,1,FALSE,38
4kjIQoJy36DfZ5j53FQJRQ,"Grieving, My Heart Is Broken",J. M. Quintana Cámara,Sunshine in the Rain (Original Motion Picture Soundtrack),album,9,1/21/2022,16,154384,FALSE,185,https://open.spotify.com/track/4kjIQoJy36DfZ5j53FQJRQ,love,40,1010,dark ambient,1,FALSE,40
