word,spearman_corr
remaster,0.09309359175905609
feat,0.07705142399810025
tum,0.06823117650444527
taylors,0.06529711716818411
hi,0.06070700642531665
ishq,0.05902804959217703
dil,0.053359886836100746
saiyaara,0.052985257044467875
teri,0.05287880414105518
se,0.050836182942908106
eyes,0.0485786153453489
tu,0.0476997286603175
uljha,0.04704690233951514
baaton,0.04704690233951514
mein,0.04677789340035225
2016,0.04256006035605638
akhiyaan,0.042452454469015445
2008,0.042318376444636395
samjho,0.04174823678433661
school,0.04113220150829078
ve,0.04096668429857076
aisa,0.04038421063881997
kya,0.03991161555729775
words,0.03986853940358139
loon,0.039743143985005426
tera,0.03919999643817405
summer,0.03873178929249692
story,0.03851800052917322
jiya,0.038330832520972656
disco,0.037867258961700234
dreams,0.037866276912685314
wildest,0.037866276912685314
want,0.03770928983328305
loved,0.0376033187502321
bhool,0.03716970768996856
stree,0.03716746165476506
hai,0.03684506625937897
breaking,0.0366856904773446
kabir,0.035674760793577086
things,0.03555334304520727
wait,0.035368665514322516
carry,0.034995542412295785
flame,0.03493235930706032
gallan,0.03491056559769411
raanjhanaa,0.03471098245006562
ocean,0.03461644378088297
ye,0.03431893364885003
mere,0.03399786602776054
kind,0.03397760601138991
jaane,0.0339214296232928
town,0.0338091602053454
isip,0.033747676083895256
sohneya,0.033747676083895256
lovers,0.03373977819574083
title,0.033620241692121786
kiya,0.03353443310372556
mile,0.03328052952980007
singh,0.033119286654171194
sheeran,0.03302107037368736
ed,0.03302107037368736
away,0.03279498580446336
goes,0.03277474703863387
gun,0.03250589946834074
usher,0.032333954104251626
sparks,0.03222902396135047
kabira,0.032223383670089555
sahiba,0.03219552185744055
eternity,0.03212851764962068
traitor,0.03200567660195095
pink,0.03200567660195095
fade,0.03200567660195095
nazar,0.031990586524769056
treat,0.03184933345037129
sunsetz,0.03184933345037129
clocks,0.03184933345037129
cardigan,0.03184933345037129
sally,0.03174951038082353
tell,0.03164800033780399
xxxtentacion,0.031625986090971774
ferrari,0.031625986090971774
heather,0.031625986090971774
khuda,0.03160360362325975
meri,0.031483469225454065
november,0.031424973467512204
brooklyn,0.031424973467512204
landslide,0.031424973467512204
juno,0.031424973467512204
nonsense,0.031424973467512204
bawat,0.03135206473727871
runs,0.03124629557999259
uptown,0.03124629557999259
crime,0.03124629557999259
wine,0.03124629557999259
ivy,0.03124629557999259
face,0.03112557721662327
hoon,0.03109689836208061
multo,0.03103411558856305
saksi,0.03103411558856305
affair,0.03103411558856305
impossible,0.03103411558856305
hypnotize,0.03103411558856305
family,0.03103411558856305
atlantis,0.03103411558856305
chance,0.030817559578600353
ceilings,0.030743764021343673
thodi,0.030743764021343673
died,0.030743764021343673
juna,0.030743764021343673
poppa,0.030743764021343673
margaret,0.030743764021343673
tune,0.030743764021343673
glue,0.030743764021343673
bleachers,0.030743764021343673
daaru,0.030743764021343673
2005,0.030743764021343673
daylight,0.030743764021343673
anchor,0.030743764021343673
jo,0.03072621392019804
pehli,0.03039875816407645
paradise,0.03033057140645456
wreck,0.03033057140645456
aroundcomes,0.03033057140645456
reason,0.03033057140645456
odds,0.03033057140645456
torn,0.03033057140645456
bette,0.03033057140645456
davis,0.03033057140645456
18,0.03033057140645456
naiilang,0.03033057140645456
interlude,0.03033057140645456
miss,0.03001933395846954
laga,0.029966915453733593
kuch,0.029964759600273436
saturn,0.029872709319685553
