word,spearman_corr
2009,0.07358325510999807
feat,0.0732310628994168
remastered,0.0715492659513221
remaster,0.0627100493300032
ti,0.05503522169272909
mamma,0.05315631408286823
mia,0.05315631408286823
man,0.04947385099987159
en,0.04583260332006971
feeling,0.04494143752720783
vida,0.04394648342318156
2011,0.043357831903219055
por,0.04264369918417772
picture,0.040409562028422816
good,0.04037661557084874
te,0.03958816378087388
california,0.038565052896128785
justin,0.03852892033260415
motion,0.03824501412005557
tu,0.038033035743154794
care,0.037483818768663406
sin,0.037319820313201225
bieber,0.03706367894535117
wait,0.03692777774996937
daddy,0.036128943442717165
yo,0.036060910536068025
highway,0.03603883092556224
primera,0.035854187855579304
fila,0.035854187855579304
hecho,0.035854187855579304
realidad,0.035854187855579304
haash,0.035854187855579304
vivo,0.03510167412409424
music,0.034705260217081174
party,0.03449591618219968
king,0.03403878368989153
soundtrack,0.03308969457265325
team,0.032544109802667934
cuando,0.0325094219857817
todo,0.03214173112678759
shes,0.03210815646601305
dream,0.03208851954979349
young,0.03208302414512253
mientes,0.032027261331063005
ive,0.032015692023361915
nadie,0.03128494204969752
joy,0.03112243765293958
winner,0.03108028393006872
ronan,0.031024540249517455
takes,0.030979400582751684
saturday,0.030896734967769283
edition,0.0305079349514458
money,0.03047567323566014
wet,0.030369183683900847
voy,0.030317758514506337
shark,0.030254272435253794
chihiro,0.030167994345960677
hurts,0.02993211719113426
records,0.02981070983203243
rock,0.029538767265447994
send,0.029359768212511343
malone,0.029030233952092085
post,0.029030233952092085
life,0.02893668662996789
sexy,0.028798351076605683
baby,0.028617090044169416
perdn,0.028482287306833217
dirty,0.028450947410091923
devil,0.02838157177631945
suerte,0.028242820508774497
rich,0.028145694621493036
amarte,0.028145694621493036
hands,0.0279400939332781
llegaste,0.02789760595588565
sounds,0.02783529025571005
tiger,0.027833504269516897
2005,0.027770142023708286
taylors,0.027722503255480938
going,0.027690421784765457
seen,0.027614232872575115
flute,0.027554255195375434
caroline,0.027465813410522778
pueda,0.02737215630492994
gustas,0.027361749959864068
proud,0.027288905544402973
2014,0.027123574861335334
jump,0.02698365275580408
riptide,0.026848370269947755
praise,0.026609024333432717
amo,0.02644168459723754
chain,0.026376615960294926
girls,0.026321586806504104
ill,0.02624842476341437
walls,0.02621831083059793
weekend,0.026155598882795013
box,0.0260366753548098
knew,0.025762641601408526
single,0.02575895883409411
stick,0.02572795378452229
2013,0.0257277948507516
aint,0.025696777099206026
quisiera,0.02561001520710908
forget,0.0255976284463796
son,0.025429638559300645
original,0.02537111833007934
friday,0.025260518825727305
slo,0.025096635517192767
mano,0.025079291608749648
number,0.025079291608749648
talking,0.025061947700306533
bruno,0.024991068665573067
trolls,0.024838471583628917
world,0.02483159209705015
born,0.024806729908292764
bring,0.02477403882015076
dreamin,0.024685514865016085
fin,0.024611006080785446
noticed,0.024505916212185397
billie,0.02445891231892299
holdin,0.024407814065619402
dracula,0.024407814065619402
duele,0.024343909890761413
middle,0.024311620663962485
rising,0.024309222073875175
ho,0.02428494060205481
bye,0.024268628635478552
mystical,0.02424104041645721
nomcebo,0.024180877151396097
jerusalema,0.024180877151396097
zikode,0.024180877151396097
nothings,0.024128222947906317
church,0.024128222947906317
exes,0.024128222947906317
pony,0.024128222947906317
american,0.024104563954246375
