word,kendall_corr
feat,0.14578934604415145
lil,0.0626854646487273
scott,0.047918339691626496
travis,0.047814542457186346
drake,0.03949328007085614
21,0.03651466368034574
baby,0.035873731096963284
kendrick,0.03511882303880122
lamar,0.03511882303880122
thug,0.03465210536905695
girls,0.03421935406045763
sam,0.03206216284805177
west,0.03117278640711446
ya,0.031059214762090136
young,0.030347386205688987
cardi,0.03014957882543838
larsson,0.029894292315540083
zara,0.029894292315540083
rocky,0.029833466704346067
te,0.029144815590110895
savage,0.029045763422937566
sza,0.02902211467791509
danse,0.028715908143434984
guetta,0.028636449156110216
remastered,0.02851126583001996
durk,0.028359905730829443
idol,0.02802672147778262
goes,0.027980000007100336
ocean,0.02797429015493506
wayne,0.02765510030343652
vol,0.027258826990359166
till,0.027194242379834865
dre,0.02689058019155758
timbaland,0.026833487664611598
maluma,0.026601667646146607
future,0.026346396280914626
pon,0.026256853142457178
dior,0.026196905989163896
symphony,0.02607986630892463
monster,0.025949587522953486
whats,0.025727069658443787
dash,0.02567165474126086
pt,0.025562674729825915
trouble,0.025417506485592586
heroes,0.025237751536471394
minaj,0.025174367540212537
nicki,0.025174367540212537
dog,0.02512356648257943
justin,0.025109260414120153
jimmy,0.025106438724495635
bit,0.025106438724495635
soundtrack,0.024773778795372844
sexy,0.024541277706174522
box,0.024492089200671432
neyo,0.024426820475286565
alibi,0.02419581291970722
popular,0.024187249040665326
offset,0.02414751270039789
ty,0.02411409653655776
ign,0.02411409653655776
boom,0.024019701070835963
wit,0.02390196559284861
bbyclose,0.02385105707635577
words,0.023823370657349432
horse,0.02378189209934885
want,0.02375490311315011
skepta,0.02375334583587586
picture,0.023595231599359556
alors,0.023559231244259522
2016,0.023553521991564925
search,0.023519266475397337
hands,0.023407936047852667
com,0.02327662323587691
beatles,0.023182420566416038
yellow,0.023182052641160883
shine,0.022962936205940258
flex,0.022854138536476644
black,0.022802088658718515
meet,0.022797433366571487
migos,0.02279044028885168
step,0.022767801106967404
hot,0.02273159964090858
money,0.022714360769430012
burning,0.02255733769819144
alesso,0.022463054726896664
williams,0.022374561310130395
paramore,0.022374561310130395
hayley,0.022374561310130395
sia,0.022253118249722748
ties,0.022174737465819452
blake,0.022074825543663988
ladies,0.022074825543663988
chainz,0.022074825543663988
lie,0.021975780232551798
ti,0.021786970064494298
moneybagg,0.021624756195836422
oh,0.02158335592016764
cinderella,0.021560992801150147
drink,0.02155499655835241
yeat,0.021535301164024453
lord,0.02151086605035284
moonlight,0.021475741677527926
doesnt,0.021422863224163965
goosebumps,0.021344124965211708
bad,0.02131721325964139
album,0.021299708511443773
raye,0.02127760447546672
pitbull,0.02126125703468374
iv,0.021186485624055434
bieber,0.02118462951759047
jayz,0.021021191625740458
way,0.021007624403585796
family,0.020979068192873124
freaky,0.02091299262031325
nate,0.020907283367618653
jiggy,0.02085019084067267
twins,0.02085019084067267
akon,0.020839392536030576
johnson,0.020795952940073987
alok,0.020573634651672792
dna,0.02056472820594276
featuring,0.02049204874494171
cat,0.0204448338993562
sorry,0.020290684076602044
freestyle,0.020239888441449857
brown,0.02018220827540468
nayer,0.02014690721821056
counting,0.02014690721821056
demons,0.020130731520722634
legends,0.02012245635604482
gangstas,0.020090394154484867
highway,0.020090394154484867
ridin,0.020076587100554613
cudi,0.02007013305584668
fair,0.02001663994726133
type,0.02001663994726133
nokia,0.019989477969260407
notion,0.019989477969260407
empire,0.019989477969260407
gunplay,0.019989477969260407
jon,0.019989477969260407
drivers,0.019989477969260407
issues,0.019989477969260407
lefty,0.019989477969260407
license,0.019989477969260407
rescue,0.019976675178399142
gimme,0.019911240836897066
rockstar,0.019885327135285572
everlong,0.019844158662537192
poker,0.019844158662537192
pregunt,0.019844158662537192
fallin,0.019844158662537192
maneater,0.019844158662537192
fen,0.019844158662537192
titanium,0.019821851958801418
times,0.019801662661634172
went,0.019694067170016535
hubiera,0.01966250952913317
faint,0.01966250952913317
conocido,0.01966250952913317
guy,0.01966250952913317
raid,0.01966250952913317
rehso,0.01966250952913317
cee,0.01966250952913317
mars,0.01966250952913317
luther,0.01966250952913317
training,0.019654102401154346
pretender,0.019648393148459748
santa,0.0194799701939691
hbo,0.019456640511275276
mean,0.019456640511275276
oopsi,0.019456640511275276
fortunate,0.019456640511275276
kisses,0.019456640511275276
breakin,0.01944856930414881
jid,0.019402895282592023
