word,kendall_corr
2009,0.060839372234400405
feat,0.06054817618761532
remastered,0.05915764962834777
remaster,0.0518492968043117
ti,0.04550367245321474
mamma,0.04395017282480758
mia,0.04395017282480758
man,0.040905475469261675
en,0.037894855421834434
feeling,0.037158030619595946
vida,0.036335392602284675
2011,0.03584868963044946
por,0.03525823754656745
picture,0.033411030572120776
good,0.03338379011105178
te,0.03273189027504353
california,0.03188597194945405
justin,0.031856097184077434
motion,0.03162136068432514
tu,0.03144609483941748
care,0.03099199674470036
sin,0.030856401179339542
bieber,0.030644620931238764
wait,0.030532256461896206
daddy,0.029871772256625944
yo,0.029815521968083684
highway,0.02979726632499825
primera,0.029644601585603385
fila,0.029644601585603385
hecho,0.029644601585603385
realidad,0.029644601585603385
haash,0.029644601585603385
vivo,0.029022415696261062
music,0.028694656708002007
party,0.028521568963457852
king,0.028143607240802344
soundtrack,0.027358890853888488
team,0.026907795902232214
cuando,0.026879115667844844
todo,0.026575105183338704
shes,0.02654734531757234
dream,0.02653110931858546
young,0.02652656566296903
mientes,0.026480460409860372
ive,0.026470894790390716
nadie,0.025866703393970618
joy,0.025732343131308906
winner,0.025697490011085122
ronan,0.02565140057775271
takes,0.02561407864921348
saturday,0.025545729890880053
edition,0.025224266143693486
money,0.02520058142286844
wet,0.025109545206144
voy,0.0250670263610843
shark,0.025014535434968378
chihiro,0.024943199846697246
hurts,0.024748174252863117
records,0.02464779343250732
rock,0.02442294859504971
send,0.02427495038547148
malone,0.02400248815879145
post,0.02400248815879145
life,0.023925142296016857
sexy,0.023810765075116893
baby,0.023660896638235476
perdn,0.02355103024991481
dirty,0.023523528244522342
devil,0.023466167775747598
suerte,0.023351446838198113
rich,0.023271142181913472
amarte,0.023271142181913472
hands,0.02310114947388148
llegaste,0.023066019988671804
sounds,0.02301449674369762
tiger,0.023013020072427125
2005,0.022960631533042786
taylors,0.022921243322387534
going,0.022894718041115744
seen,0.022831724285512615
flute,0.022782134141349365
caroline,0.022709009587920985
pueda,0.02263157295507508
gustas,0.02262296888475887
proud,0.022562740392545386
2014,0.022426043328058587
jump,0.022310354329936517
riptide,0.022198501415825765
praise,0.022000607798552903
amo,0.02186224962882032
chain,0.021808450228157507
girls,0.02176295157270636
ill,0.021702460462788592
walls,0.02167756196155591
weekend,0.021625711095075183
box,0.021527383931161267
knew,0.021300810079501027
single,0.0212977651306039
stick,0.021272129845113653
2013,0.02127199843708039
aint,0.021246352649471046
quisiera,0.021174617048196592
forget,0.021164375550376563
son,0.021025479829382257
original,0.02097709471780334
friday,0.02088564993999139
slo,0.02075014957926349
mano,0.020735809462069807
number,0.020735809462069807
talking,0.020721469344876117
bruno,0.020662865849130817
trolls,0.020536697053575293
world,0.02053100902517642
born,0.02051045271852606
bring,0.02048342339946093
dreamin,0.02041023090682047
fin,0.020348626297840285
noticed,0.020261736942045073
billie,0.020222873652368873
holdin,0.0201806251048071
dracula,0.0201806251048071
duele,0.020127788493057523
middle,0.02010109143697534
rising,0.02009910825867015
ho,0.020079032094598992
bye,0.02006449814467072
mystical,0.020042734981502552
nomcebo,0.019992991391436878
