word,kendall_corr
remaster,0.07721321925504691
feat,0.06390760505274139
tum,0.056591959681854626
taylors,0.05415840692535125
hi,0.05035130032975154
ishq,0.04895874838683696
dil,0.04425748930564318
saiyaara,0.04395168867182182
teri,0.04385219121488323
se,0.04216429149945861
eyes,0.040291831122759574
tu,0.03956286934322796
uljha,0.03901687341867765
baaton,0.03901687341867765
mein,0.03879658695924946
2016,0.03529995147555933
akhiyaan,0.03521070154124882
2008,0.03509949521976047
samjho,0.03462661284660353
school,0.03411566396237442
ve,0.033978381509703864
aisa,0.033484130298349714
kya,0.03310329169407071
words,0.03306756368703266
loon,0.0329635588488356
tera,0.03251306413884658
summer,0.03212472611994711
story,0.03194740651776115
jiya,0.031792200695641225
disco,0.031407671715630935
dreams,0.03140685718946995
wildest,0.03140685718946995
want,0.03126238772642749
loved,0.031188755751242556
bhool,0.030829112243725993
stree,0.03082724934848964
hai,0.03055984977908435
breaking,0.03042766111851559
kabir,0.02958918089824218
things,0.029488475199287118
wait,0.029335300889280998
carry,0.029025827000245984
flame,0.028973421986478894
gallan,0.028955345957529136
raanjhanaa,0.028794063775185844
ocean,0.028711396917643454
ye,0.02846463755836648
mere,0.028198339264848677
kind,0.028181535303839364
jaane,0.028134941766205485
town,0.028041823829516074
isip,0.02799082797834599
sohneya,0.02799082797834599
lovers,0.027984277351625106
title,0.027885131985241483
kiya,0.02781396105688207
mile,0.027603369629988918
singh,0.027469632374029666
sheeran,0.027388170320024476
ed,0.027388170320024476
away,0.0272006523922722
goes,0.027183866056779967
gun,0.02695297057530853
usher,0.02681826579530739
sparks,0.026731235163260668
kabira,0.02672655702121499
sahiba,0.02670344801652131
eternity,0.0266478737230426
traitor,0.026545987518331628
pink,0.026545987518331628
fade,0.026545987518331628
nazar,0.02653347158231493
treat,0.026416314166881297
sunsetz,0.026416314166881297
clocks,0.026416314166881297
cardigan,0.026416314166881297
sally,0.026333519417961828
tell,0.026249325467979284
xxxtentacion,0.026231066521952257
ferrari,0.026231066521952257
heather,0.026231066521952257
khuda,0.02621250216801273
meri,0.026112860899236128
november,0.026064343641516118
brooklyn,0.026064343641516118
landslide,0.026064343641516118
juno,0.026064343641516118
nonsense,0.026064343641516118
bawat,0.026003872048716303
runs,0.025916145525572885
uptown,0.025916145525572885
crime,0.025916145525572885
wine,0.025916145525572885
ivy,0.025916145525572885
