word,pearson_corr
remaster,0.0891906256912209
feat,0.07322277976090662
tum,0.06474981177096599
taylors,0.05993855149850145
hi,0.05696917143054555
ishq,0.05601625045304696
dil,0.053170165081758494
saiyaara,0.050344436828535
se,0.04785621328010092
teri,0.047725023066200405
eyes,0.046246247000333654
tu,0.04593826617663609
mein,0.04559099291914101
baaton,0.041545756118851904
uljha,0.041545756118851904
kya,0.04075498567982181
2016,0.040711761300097224
2008,0.03952933866703625
akhiyaan,0.03952933866703616
hai,0.03919193134303493
ve,0.0390902501633832
samjho,0.03897568798469845
tera,0.03814712487932876
school,0.037949278555217
disco,0.03746428312736822
loon,0.03663732313339953
sparks,0.03662589831809821
words,0.03640966441099471
summer,0.03626219277425305
jiya,0.03597767192199613
aisa,0.035908347946709926
wildest,0.03538001582735001
dreams,0.03538001582735001
things,0.035191048406457974
sahiba,0.03517458733942363
want,0.03506150222511877
mere,0.0349813228730585
bhool,0.03496091339200023
story,0.034870050266772507
lovers,0.034870050266772486
raanjhanaa,0.034673599616990666
eternity,0.03444893185008658
breaking,0.03435684555203176
title,0.034346182714440655
loved,0.033933756501316276
ocean,0.03384364083729113
stree,0.03384364083729101
fade,0.03372327636074941
pink,0.033723276360749246
traitor,0.03372327636074924
wait,0.033721079302088376
gallan,0.033721079302088355
kind,0.03372107930208826
ye,0.0332845036506008
cardigan,0.032997620871412184
clocks,0.03299762087141216
sunsetz,0.03299762087141206
treat,0.03299762087141199
town,0.03291781368554773
meri,0.032761704264908466
goes,0.032309724911897104
kiya,0.03230402669306878
kabir,0.03230402669306875
heather,0.03227196538207496
xxxtentacion,0.03227196538207487
ferrari,0.03227196538207484
carry,0.03179082197832805
sally,0.03179082197832801
flame,0.031790821978328
mile,0.03160809390920148
landslide,0.031546309892737726
november,0.03154630989273765
brooklyn,0.03154630989273758
juno,0.03154630989273754
nonsense,0.031546309892737455
hoon,0.03138114055885138
jaane,0.031277617263587326
august,0.03127761726358728
singh,0.03118899147385165
away,0.031166672008653355
pehli,0.03108463634329247
uptown,0.030820654403400486
runs,0.030820654403400365
wine,0.030820654403400365
ivy,0.030820654403400323
crime,0.030820654403400233
khuda,0.0307698890385018
sohneya,0.030764412548846553
isip,0.030764412548846473
miss,0.030763791005683477
tell,0.030453933409305144
jo,0.030453933409305075
nazar,0.03035078660315198
kabira,0.030251207834105825
sheeran,0.03025120783410575
ed,0.03025120783410575
impossible,0.03009499891406325
saksi,0.030094998914063174
multo,0.03009499891406317
atlantis,0.030094998914063007
hypnotize,0.03009499891406295
affair,0.03009499891406294
family,0.03009499891406294
bawat,0.029931684167802123
usher,0.02973800311936501
kuch,0.029734505901993745
tune,0.029369343424725993
anchor,0.029369343424725976
ceilings,0.029369343424725955
daylight,0.029369343424725924
juna,0.029369343424725875
margaret,0.029369343424725868
bleachers,0.029369343424725868
died,0.02936934342472584
glue,0.029369343424725823
daaru,0.02936934342472573
thodi,0.02936934342472573
2005,0.02936934342472572
poppa,0.02936934342472572
bina,0.029345587695545898
chance,0.02922479840462433
female,0.029093479297102487
lover,0.02871159368988355
face,0.028711593689883526
reason,0.028643687935388764
18,0.028643687935388736
naiilang,0.028643687935388712
interlude,0.028643687935388688
aroundcomes,0.028643687935388688
odds,0.028643687935388615
davis,0.02864368793538859
bette,0.02864368793538859
torn,0.028643687935388535
paradise,0.0286436879353885
wreck,0.02864368793538844
close,0.0286388523577589
laga,0.028530493927710045
toh,0.02843130656630317
changes,0.028275836147449666
duet,0.028255274426402795
bhulaiyaa,0.02819838897514279
memories,0.027918032446051493
melting,0.027918032446051486
comet,0.02791803244605147
halleys,0.02791803244605147
saturn,0.02791803244605146
treehouse,0.027918032446051417
musical,0.02791803244605133
return,0.02791803244605131
mack,0.02791803244605131
diggity,0.027918032446051302
heartbreak,0.027918032446051292
anniversary,0.027918032446051292
mila,0.02783617199105298
ordinary,0.027836171991052937
whats,0.02783617199105293
tujhe,0.027836171991052927
looks,0.02768518426040203
rosyln,0.027192376956714254
unconditionally,0.027192376956714236
tingin,0.02719237695671422
godspeed,0.027192376956714174
false,0.027192376956714146
dirty,0.027192376956714105
hungry,0.027192376956714105
shape,0.027192376956714087
steps,0.02719237695671402
forward,0.02719237695671402
juelz,0.027192376956714004
santana,0.027192376956714004
maahi,0.027171979545661317
laage,0.026997967120353277
reprise,0.026747605157362686
ban,0.026658774830920565
beyonc,0.026658774830920523
fine,0.026466721467377007
diyan,0.026466721467376983
harvest,0.02646672146737697
jeene,0.02646672146737697
subhanallah,0.026466721467376948
dafa,0.02646672146737694
congratulations,0.026466721467376903
bilal,0.026466721467376903
sacrifice,0.02646672146737689
making,0.02646672146737685
poison,0.02646672146737684
prayer,0.026466721467376834
double,0.02646672146737683
tpain,0.026466721467376757
thing,0.026449698274944044
god,0.026422857340089815
small,0.026145570116179843
leaves,0.02614557011617983
encore,0.026145570116179826
fallin,0.02614557011617982
si,0.026134435554410432
tere,0.02611263656133518
stand,0.026098109522816892
somebody,0.0258934648839493
sona,0.025773361705544
umaasa,0.025741065978039837
happier,0.02574106597803978
ibaadat,0.02574106597803978
lines,0.025741065978039764
sining,0.02574106597803975
jay,0.02574106597803975
summertime,0.025741065978039747
pasilyo,0.025741065978039733
kalimutan,0.02574106597803973
saathi,0.025741065978039712
soft,0.025741065978039688
understand,0.02574106597803968
arthurs,0.025741065978039677
2006,0.025741065978039664
inspiration,0.025741065978039664
bulaava,0.025741065978039646
ladies,0.02574106597803962
laapataa,0.02574106597803962
sajni,0.02574106597803962
challo,0.025741065978039608
chammak,0.025741065978039608
jaana,0.025741065978039556
knee,0.02574106597803951
bended,0.02574106597803951
langit,0.02574065981430374
dino,0.02563236540143913
habang,0.025632365401439084
mujhe,0.025632365401439084
sandali,0.02532155737895394
gun,0.02515612561160999
sugar,0.02512757509596072
girls,0.02506979343359724
halo,0.025015410488702518
flown,0.025015410488702507
kevin,0.025015410488702504
tyga,0.025015410488702504
deuces,0.025015410488702504
misteryoso,0.025015410488702504
mccall,0.025015410488702504
kahel,0.02501541048870249
pee,0.025015410488702473
guilty,0.02501541048870247
sin,0.02501541048870247
titanic,0.025015410488702466
hone,0.025015410488702462
travis,0.025015410488702455
scott,0.025015410488702455
glory,0.02501541048870243
daisies,0.02501541048870242
fight,0.025015410488702403
2017,0.025015410488702396
janiye,0.025015410488702376
bhaga,0.025015410488702376
nikal,0.025015410488702376
chor,0.025015410488702376
suniyan,0.025015410488702323
strawberries,0.025015410488702323
cigarettes,0.025015410488702323
millionaire,0.02501541048870232
cuff,0.025015410488702296
regulate,0.025015410488702275
high,0.025008690254666344
tauba,0.024803007169474256
ill,0.024759294157336464
comethru,0.024605955971957635
groovy,0.024605955971957603
enna,0.024605955971957593
mera,0.0245294635963386
hua,0.024520679133362523
romcom,0.024289754999365393
fearless,0.024289754999365278
malang,0.024289754999365278
haqeeqat,0.02428975499936527
rick,0.024289754999365254
ross,0.024289754999365254
aura,0.02428975499936523
guzarish,0.02428975499936523
saiyyan,0.024289754999365226
sufiyana,0.02428975499936517
afterglow,0.02428975499936516
withers,0.02428975499936514
pehle,0.024289754999365136
bhi,0.024289754999365136
limbo,0.024289754999365115
strong,0.024289754999365084
niall,0.024289754999365077
horan,0.024289754999365077
woman,0.024231220815491755
soni,0.024153871316501357
1999,0.02409275125721687
roller,0.024092751257216855
main,0.023932305888733366
white,0.02391964162373866
love,0.023893868449674636
bharat,0.02364514763755458
ranjha,0.02357954654247613
michaels,0.023579546542476102
manwa,0.023579546542476102
allah,0.0235795465424761
estranghero,0.023564099510028132
imahe,0.023564099510028063
kathang,0.023564099510028056
moral,0.023564099510028053
hona,0.02356409951002803
labon,0.023564099510028018
juan,0.02356409951002801
demarco,0.02356409951002801
really,0.02356409951002801
lavender,0.023564099510028
haze,0.023564099510028
dilaw,0.023564099510027994
saibo,0.023564099510027987
solo,0.02356409951002798
cornelia,0.02356409951002797
street,0.02356409951002797
samjhawan,0.023564099510027966
rumor,0.023564099510027952
aankhen,0.0235640995100279
rangrez,0.023564099510027893
claw,0.023564099510027876
marks,0.023564099510027876
grows,0.023564099510027876
rosemary,0.023564099510027876
welcome,0.02356409951002784
gulaab,0.02356409951002781
thong,0.023564099510027782
pony,0.02356409951002775
buhay,0.02322604520220478
yaar,0.023193609203120174
belong,0.023066341827735388
lage,0.02306634182773534
wop,0.023066341827735322
doo,0.023066341827735322
grease,0.022838444020690806
pa,0.022838444020690803
pipiliin,0.022838444020690803
piya,0.022838444020690792
zehnaseeb,0.022838444020690785
supposed,0.022838444020690785
labyrinth,0.022838444020690768
susunod,0.022838444020690768
jhuki,0.02283844402069075
repeat,0.022838444020690744
did,0.022838444020690744
material,0.022838444020690726
humsafar,0.022838444020690726
itll,0.02283844402069071
fountain,0.022838444020690667
sia,0.022838444020690643
twisted,0.02283844402069062
product,0.022838444020690598
gb,0.022838444020690598
raataan,0.022838444020690594
shershaah,0.022838444020690594
lambiyan,0.022838444020690594
kamleya,0.022838444020690574
haaniyaan,0.02283844402069055
look,0.022830592992810973
2014,0.022830592992810952
kinna,0.02255313711299463
2009,0.022553137112994545
girl,0.022417512308171086
theme,0.022324221932423595
bills,0.022112788531353848
fernando,0.022112788531353567
badtameez,0.022112788531353567
jude,0.022112788531353567
colors,0.02211278853135356
bahara,0.02211278853135356
malibu,0.022112788531353546
comin,0.022112788531353542
museo,0.02211278853135353
tibok,0.022112788531353518
swear,0.022112788531353518
mehrama,0.022112788531353515
helium,0.02211278853135351
spiderverse,0.022112788531353508
hoodie,0.022112788531353508
lee,0.022112788531353508
boomin,0.022112788531353508
jaunga,0.022112788531353508
swae,0.022112788531353508
nav,0.022112788531353508
joness,0.0221127885313535
bridget,0.0221127885313535
2018,0.022112788531353497
modern,0.022112788531353497
creature,0.022112788531353473
blind,0.022112788531353466
colder,0.022112788531353438
weather,0.022112788531353438
flightless,0.02211278853135343
bird,0.02211278853135343
minutes,0.02211278853135343
mouth,0.02211278853135343
maan,0.022112788531353417
walker,0.022112788531353386
favourite,0.022112788531353383
bekhayali,0.02211278853135336
changed,0.022112788531353355
rebound,0.022112788531353334
vishk,0.022112788531353334
aayi,0.02211278853135333
nai,0.02211278853135333
tenu,0.02211278853135333
dekhha,0.02211278853135333
thurr,0.022112788531353324
pyaar,0.022039932398253897
lied,0.022039932398253886
bleeding,0.022039932398253883
chahiye,0.022039932398253876
thousand,0.021968737896155267
woh,0.02196873789615525
jogi,0.02196873789615525
soundtrack,0.021893005660966063
country,0.02174154436188319
