word,pearson_corr
feat,0.16938782001240985
lil,0.0722342575095319
scott,0.05562239440485132
travis,0.0552740733664124
drake,0.0439486951281926
21,0.04083205724514031
girls,0.04075428248270469
lamar,0.04065714492070246
kendrick,0.04065714492070246
baby,0.040200838390720035
idol,0.039446094602488956
thug,0.03909798130664011
sam,0.03743384998236966
ya,0.03671891782817932
west,0.036124227887073784
te,0.03540331978307621
cardi,0.03499950731144993
sza,0.03463232159965746
larsson,0.03433423642415434
zara,0.03433423642415434
guetta,0.034276325232733704
rocky,0.03423473770018003
young,0.03419178061906011
remastered,0.03405092632266515
vol,0.03396696214291865
timbaland,0.033545490415259505
danse,0.033345073967340544
dre,0.03312401868760012
wayne,0.032971571655585376
goes,0.03292393177232273
durk,0.03284381054663894
till,0.032657879567240006
ocean,0.0325457253711356
savage,0.03227410704412045
maluma,0.03196841531356805
symphony,0.03185960350462238
pon,0.03143813177696311
dior,0.03143813177696309
monster,0.031120740491774625
dash,0.03101666004930383
future,0.03099795531846191
want,0.0308234905442157
box,0.030247591996352133
whats,0.030019496721293663
minaj,0.03001949672129365
nicki,0.03001949672129365
justin,0.02988738770251886
pt,0.029887387702518753
jimmy,0.029752244866326136
bit,0.029752244866326102
heroes,0.02975224486632605
trouble,0.029559262669465767
dog,0.02933077313866683
popular,0.02933077313866675
2016,0.028909301411007643
com,0.02890930141100754
bbyclose,0.02887093334257947
boom,0.028851680824839705
sexy,0.02865824689050897
lie,0.028641352481021023
offset,0.028543459254147818
neyo,0.028526768679136366
hands,0.028487829683348304
soundtrack,0.028162738437353275
ign,0.028074447738588772
ty,0.028074447738588772
alibi,0.02806635795568906
skepta,0.02806635795568903
alors,0.02764488622802989
hot,0.027614488114552884
nayer,0.027591814768170936
counting,0.027591814768170686
wit,0.027591678176714082
words,0.027478277387582482
money,0.02741622988824836
sia,0.027325035998265235
black,0.02722684770512086
beatles,0.02722341450037054
horse,0.02722341450037044
picture,0.027180192212079415
shine,0.02715011002536364
meet,0.027150110025363623
yellow,0.0271501100253636
gangstas,0.026995823366696158
highway,0.026995823366695877
pitbull,0.026801942772711328
search,0.0268019427727112
goosebumps,0.026584021861073035
moonlight,0.02646178069847734
empire,0.026399831965221606
gunplay,0.026399831965221596
lefty,0.026399831965221596
nokia,0.026399831965221592
jon,0.026399831965221564
issues,0.02639983196522154
notion,0.026399831965221488
license,0.026399831965221443
drivers,0.026399831965221443
flex,0.026380471045052034
williams,0.02638047104505199
hayley,0.02638047104505199
paramore,0.02638047104505199
way,0.026366959158532453
burning,0.026117616035034177
migos,0.02611761603503415
sorry,0.02595899931739286
ties,0.025958999317392772
poker,0.025803840563746926
everlong,0.025803840563746894
fen,0.02580384056374678
pregunt,0.025803840563746763
maneater,0.02580384056374674
fallin,0.025803840563746686
ti,0.025749005161955406
lord,0.025725182927572882
ladies,0.025537527589733607
chainz,0.02553752758973355
alesso,0.02553752758973351
blake,0.025537527589733492
drink,0.025429286708147824
closer,0.02542928670814776
doesnt,0.025391681159060663
luther,0.02520784916227224
rehso,0.025207849162272186
faint,0.025207849162272172
mars,0.025207849162272148
guy,0.025207849162272117
hubiera,0.02520784916227211
conocido,0.02520784916227211
raid,0.025207849162272093
cee,0.025207849162272065
yeat,0.0251160558620743
moneybagg,0.025093595983557555
bieber,0.02509359598355746
times,0.02509359598355745
family,0.02501870236067956
demons,0.024984281792853207
bad,0.024952610080538024
oh,0.024892152696429602
album,0.02479551080805443
