word,kendall_corr
remaster,0.07136879349285216
2011,0.06601393967493999
taylors,0.06563537400706412
version,0.05081244334651818
remastered,0.0369990822146969
feat,0.036257645584111195
season,0.03281449383377985
2009,0.031750393656237885
fuck,0.031148536632399037
vault,0.03028812697645276
karma,0.02890203384249518
beautiful,0.02877652303706061
soundtrack,0.028506432326308652
happier,0.027898107326472403
linger,0.027745419463685545
thank,0.0271424454300134
break,0.026986957964840873
person,0.02693762895436335
july,0.02687254276732206
2004,0.026855566371596994
2012,0.026600000042410324
evergreen,0.026427490504373565
goes,0.026139499017786633
chain,0.025982438241425074
river,0.025952251300181226
chihiro,0.025947982582358094
youre,0.025741558762084966
john,0.02542533278624042
bridgers,0.025275275492039076
phoebe,0.025275275492039076
strange,0.024977924014820976
mrs,0.024925798030037694
picture,0.02487612980380915
freak,0.02472193538055806
lily,0.024661130832193977
bbc,0.02463866753781286
lounge,0.02463866753781286
half,0.024511909798520377
ring,0.024503887214035285
room,0.02450308456838155
anthem,0.024431933583410982
video,0.024411834448955245
ek,0.024214371215668728
free,0.024212861394823794
art,0.024127050017893337
male,0.024032822199218467
machine,0.023899926503890292
halsey,0.02386628651372806
dies,0.023851929989116817
singh,0.02369687952331541
shout,0.02369687952331541
watching,0.02355899518961119
film,0.023530343837825006
heaven,0.0231393832003094
partys,0.023056578525654035
hope,0.0229741839783057
girl,0.02294558803751609
bubble,0.022849844571252154
valerie,0.022803903692496182
khalid,0.022473424451873333
motion,0.022446601355307325
2010,0.022315781855713968
feet,0.02230751994331776
wanna,0.022284497640948583
legend,0.022218157488357523
iver,0.022183701829290543
bon,0.022183701829290543
constellations,0.022154988780068063
complex,0.022132877547766976
goodbyes,0.022117661816078833
age,0.02204013658317813
number,0.02188508611737672
sex,0.02186785828784323
stone,0.021741520871264304
older,0.02150977526567407
matter,0.02141130016635444
white,0.021357140395436767
billie,0.021293597303393565
killed,0.021288095727428315
bhula,0.021262012949248833
bonus,0.02114502111971145
acoustic,0.02112354828026742
studios,0.021117514782936858
recorded,0.021117514782936858
fr,0.021106962483447424
mercy,0.021052407689924706
gilded,0.020963472928972295
california,0.020931018133410466
scientist,0.020911713748734538
happiness,0.02086864417490081
girls,0.020853625922676946
isnt,0.02068775196479917
black,0.020619802574472847
people,0.020566864170230563
unsteady,0.020521216279308765
noticed,0.02026867912928885
sienna,0.02024025750390724
miserable,0.020199118586634195
berghain,0.02019559494973613
lovely,0.02019559494973613
cinnamon,0.02014687216336765
nuts,0.02009002891260442
softcore,0.02009002891260442
care,0.02006344061985774
birds,0.02004202735676716
ask,0.019995767478537322
stick,0.01999258333986745
duvet,0.01999258333986745
apologize,0.01992948438611615
13,0.019921417445966972
present,0.019886657891491886
wicked,0.019878043976725143
silver,0.01987633927229365
nate,0.01986671614174887
standing,0.01986671614174887
ruess,0.01986671614174887
jealous,0.019850342052428863
pair,0.019716487550446048
steal,0.019716487550446048
ricochet,0.01971437959615699
reprise,0.019690330573482757
2017,0.019683296637817073
ykwim,0.019669228766485698
heart,0.0196255708458401
real,0.019618505278194903
plastic,0.01952565663716949
rises,0.01952565663716949
lacy,0.01952565663716949
delicate,0.01952565663716949
darker,0.01952565663716949
ishq,0.01952565663716949
malone,0.01952565663716949
post,0.01952565663716949
fortnight,0.01952565663716949
scott,0.019516826827062454
head,0.019454836252031076
father,0.019435863018698898
2006,0.019350783572132445
casual,0.019347006420485056
exit,0.019347006420485056
starman,0.019347006420485056
jealousy,0.019347006420485056
sextape,0.019347006420485056
cheri,0.019347006420485056
1979,0.019347006420485056
light,0.019254866409915257
cherry,0.01916426424078761
soleil,0.019143994810616377
yebbas,0.019143994810616377
salvatore,0.019143994810616377
siriusxm,0.019143994810616377
puppets,0.019143994810616377
bleu,0.019143994810616377
mmrs,0.019143994810616377
reminds,0.019071207293573363
bande,0.01904536554927313
originale,0.01904536554927313
history,0.01894486987699444
normani,0.018930513352383195
angels,0.01892464826675416
fourth,0.018855718324602852
dive,0.018855718324602852
matilda,0.018855718324602852
needy,0.018855718324602852
nutshell,0.018855718324602852
nightmares,0.018855718324602852
eventually,0.018855718324602852
hits,0.018855718324602852
experience,0.018855718324602852
jocelyn,0.018855718324602852
deco,0.018855718324602852
charming,0.018855718324602852
making,0.018855718324602852
grenade,0.018855718324602852
idontwannabeyouanymore,0.018855718324602852
idgaf,0.018855718324602852
flores,0.018855718324602852
table,0.01866635329953635
texas,0.01863189764046937
diet,0.018551200909799836
yell,0.018551200909799836
marvins,0.018551200909799836
drives,0.018551200909799836
10aug,0.018551200909799836
lightning,0.018551200909799836
fluorescent,0.018551200909799836
cider,0.018551200909799836
rebel,0.018551200909799836
bossa,0.018551200909799836
imagine,0.018551200909799836
nova,0.018551200909799836
doin,0.018551200909799836
bored,0.01839608641099616
vas,0.01838496541715601
stevie,0.018367737587622522
goth,0.018230442566207324
sativa,0.018230442566207324
18002738255,0.018230442566207324
yes,0.018230442566207324
lovelate,0.018230442566207324
jacob,0.018230442566207324
ix,0.018230442566207324
immortal,0.018230442566207324
nervous,0.018230442566207324
session,0.018223307949154624
start,0.018187809153185987
destroy,0.01805189404617521
runaway,0.017965828760904162
track,0.017879058135302273
insomniac,0.017844720507456835
kabir,0.017844720507456835
grudge,0.017844720507456835
kaise,0.017844720507456835
invisible,0.017844720507456835
calm,0.017844720507456835
hua,0.017844720507456835
enjoy,0.017844720507456835
step,0.017844720507456835
heal,0.017844720507456835
ranjha,0.017844720507456835
chameleon,0.017844720507456835
disposition,0.017844720507456835
sickness,0.017844720507456835
came,0.017844720507456835
ohs,0.017844720507456835
shershaah,0.017844720507456835
bury,0.017844720507456835
exs,0.017844720507456835
abrams,0.01770446615058316
gracie,0.01770446615058316
shouldve,0.017544980195447903
deserve,0.01751500769331959
master,0.017512155162341357
seasons,0.01745179131742531
comfort,0.017440306097736315
stargirl,0.017438697287719476
shade,0.017438697287719476
jugaste,0.017438697287719476
jar,0.017438697287719476
illicit,0.017438697287719476
mascara,0.017438697287719476
hasi,0.017438697287719476
hotline,0.017438697287719476
ilomilo,0.017438697287719476
girlfriend,0.017438697287719476
build,0.017438697287719476
opened,0.017438697287719476
mirrorball,0.017438697287719476
lives,0.017438697287719476
bitches,0.017438697287719476
snw,0.017438697287719476
gum,0.017438697287719476
bryson,0.017438697287719476
national,0.017428820878047323
justin,0.017351295645146616
bieber,0.017351295645146616
greatest,0.0172909982417794
mustang,0.01726228519255692
eileen,0.01724218605810118
lo,0.01723548702615763
remember,0.017117290904775366
cut,0.017110106031677758
cyrus,0.017110106031677758
cop,0.017023966884010307
notion,0.01702109557908806
ce,0.016996131978205757
rehab,0.016996131978205757
gay,0.016996131978205757
pacify,0.016996131978205757
genesis,0.016996131978205757
idfc,0.016996131978205757
bejeweled,0.016996131978205757
klahoma,0.016996131978205757
soit,0.016996131978205757
gives,0.016996131978205757
completely,0.016996131978205757
gunna,0.016996131978205757
bianche,0.016996131978205757
eden,0.016996131978205757
francis,0.016996131978205757
dry,0.016996131978205757
chest,0.016996131978205757
shirt,0.016996131978205757
romantic,0.016883320693775076
coast,0.01687329842594695
shootout,0.0167799059656192
obsession,0.01674832161147447
nuvole,0.016653568549040276
arr,0.016550201571839337
rockwell,0.016545446204297293
norman,0.016545446204297293
happiest,0.016545446204297293
lego,0.016545446204297293
gpa,0.016545446204297293
hopes,0.016545446204297293
paws,0.016545446204297293
pilgrim,0.016545446204297293
fable,0.016545446204297293
maras,0.016545446204297293
rise,0.016545446204297293
copycat,0.016545446204297293
neck,0.016545446204297293
dirty,0.016545446204297293
humnava,0.016545446204297293
fucking,0.016545446204297293
mere,0.016545446204297293
harness,0.016545446204297293
bside,0.016545446204297293
satellite,0.016545446204297293
bullet,0.016441091984793897
lullaby,0.016386808314326543
song,0.01633369026280913
dont,0.016254027459563326
hands,0.016236668161629924
na,0.016225496981985332
loml,0.016102880894783574
heels,0.016102880894783574
irreplaceable,0.016102880894783574
bascombe,0.016102880894783574
hated,0.016102880894783574
emma,0.016102880894783574
spiderverse,0.016102880894783574
spiderman,0.016102880894783574
static,0.016102880894783574
nmix,0.016102880894783574
dealer,0.016102880894783574
dave,0.016102880894783574
juliet,0.016102880894783574
fighting,0.016102880894783574
coi,0.016102880894783574
mets,0.016102880894783574
metro,0.016102880894783574
jolene,0.016102880894783574
lynn,0.016102880894783574
jack,0.016102880894783574
potato,0.016102880894783574
diane,0.016102880894783574
spooky,0.016102880894783574
boyfriend,0.016102880894783574
boomin,0.016102880894783574
relax,0.016102880894783574
liar,0.016048823860904893
tear,0.016041980600601382
addiction,0.016036237990756885
maniac,0.015863869571348457
vu,0.015861088390499736
deja,0.015861088390499736
wash,0.015757721413298797
animals,0.015749107498532054
breath,0.015740153580396536
clair,0.015723265754231816
logical,0.015664375817467227
breaks,0.015664375817467227
chauhan,0.015664375817467227
diya,0.015664375817467227
naked,0.015664375817467227
sidelines,0.015664375817467227
benny,0.015664375817467227
liability,0.015664375817467227
blanco,0.015664375817467227
miley,0.015664375817467227
darkhaast,0.015664375817467227
xanny,0.015664375817467227
killswitch,0.015664375817467227
ghostin,0.015664375817467227
mein,0.01564861182625336
reasons,0.01560025604738237
hearts,0.015577695538023717
fool,0.015502558693426288
dreamin,0.015453556657516654
mountain,0.0153241543700393
sing,0.015301183930661315
september,0.015271590688011498
mitty,0.015270533294321991
pity,0.015270533294321991
doesnt,0.015270533294321991
onions,0.015270533294321991
race,0.015270533294321991
louise,0.015270533294321991
hozier,0.015270533294321991
kink,0.015270533294321991
heights,0.015270533294321991
nintendo,0.015270533294321991
paralyzed,0.015270533294321991
diner,0.015270533294321991
dining,0.015270533294321991
missin,0.015270533294321991
wyd,0.015270533294321991
emails,0.015270533294321991
moved,0.015270533294321991
seven,0.015270533294321991
centerfold,0.015270533294321991
bellyache,0.015270533294321991
shes,0.015258871629867058
super,0.015243757832216348
gold,0.015212647395473369
october,0.015209704690816556
year,0.01519794986397725
money,0.015128905195968803
omnichord,0.015111677805792926
dean,0.015108806500870677
lewis,0.015108806500870677
everybody,0.0151085979406722
taylor,0.015059994317192455
damage,0.015059994317192455
gone,0.014983998138480779
id,0.014925500422327763
northern,0.014922171680924535
des,0.014896329936624299
marjaavaan,0.014872630538979383
robbers,0.014872630538979383
concerto,0.014872630538979383
knock,0.014872630538979383
156,0.014872630538979383
mis,0.014872630538979383
las,0.014872630538979383
looks,0.014872630538979383
rv,0.014872630538979383
reckoner,0.014872630538979383
christl,0.014872630538979383
dude,0.014872630538979383
halah,0.014872630538979383
