word,pearson_corr
2009,0.07510278123296153
remastered,0.06587278227396218
feat,0.060802559153542275
remaster,0.057679735862786644
ti,0.05264442021108195
man,0.05086613745800628
mia,0.0505203163567798
mamma,0.0505203163567798
feeling,0.04430094550217342
en,0.042896238182975645
vida,0.04084809073084543
por,0.040833864582623634
2011,0.04076524543540321
justin,0.03813988437261062
bieber,0.037985338426179995
california,0.03778614864713436
daddy,0.036862651147025985
good,0.03632009263227319
yo,0.03587101398262944
music,0.03578151245001588
tu,0.035615040915449994
care,0.03554688964120314
fila,0.03536573477482085
haash,0.03536573477482085
primera,0.03536573477482085
realidad,0.03536573477482085
hecho,0.03536573477482085
sin,0.035325106267273636
team,0.03498363603548616
wait,0.034589164935971514
highway,0.03457451661692543
cuando,0.03452534673637348
picture,0.034268174574022946
todo,0.03360876813814815
mientes,0.03360876813814814
winner,0.0336087681381481
vivo,0.03360214359264796
chihiro,0.03315047883903543
motion,0.032547287405977676
nadie,0.032233900240810125
noticed,0.031863286554397116
takes,0.03162344384430673
te,0.03138960384240897
wet,0.031317321642584765
king,0.031031317210408176
shes,0.030971367089608966
party,0.030903919483283658
edition,0.030859032343472176
young,0.030496112771070782
dream,0.030414877636664422
records,0.030400743044359666
ive,0.030106282600099926
saturday,0.030036775836962428
hurts,0.029942453745246927
post,0.02994245374524682
malone,0.02994245374524682
dracula,0.02991912425072899
holdin,0.029919124250728946
seen,0.029388527154110534
chain,0.02902587514702148
send,0.02902587514702147
2005,0.028629611099895806
mystical,0.028623016048283458
riptide,0.02856758584790886
voy,0.028416154129832987
joy,0.028416154129832782
shark,0.028255382006844496
billie,0.02825538200684441
pony,0.02797496194706083
church,0.027974961947060815
nothings,0.02797496194706074
exes,0.02797496194706073
money,0.027718484562227308
dirty,0.02765100724968357
tiger,0.02765100724968351
amarte,0.02765100724968347
suerte,0.027651007249683456
devil,0.027651007249683446
rich,0.02765100724968343
weekend,0.027506923820741686
morgan,0.027326907845837994
stick,0.027192717950570745
gustas,0.027192717950570697
2014,0.027119656764129065
ill,0.026904235038235417
rock,0.026783686608313793
middle,0.02675846563463895
caroline,0.026734428651458187
taylors,0.026734428651458034
hotline,0.0266788537446154
judas,0.026678853744615382
plastic,0.02667885374461535
fortnight,0.02667885374461532
perdn,0.026521365614094478
pueda,0.02627613935234545
proud,0.02627613935234543
jump,0.026276139352345344
reaper,0.026030799643392697
dreamz,0.026030799643392666
eilish,0.026030799643392662
yankee,0.026030799643392662
guess,0.026030799643392662
jones,0.02603079964339263
oye,0.026030799643392544
sexy,0.026010007448536283
life,0.02581935851651297
bruno,0.025467328229278934
baby,0.02543284043523363
galway,0.025382745542169967
