word,spearman_corr
remaster,0.08620310507201649
2011,0.07973522178971042
taylors,0.0792779696148109
version,0.06136833416925506
remastered,0.04468950104979884
feat,0.04379395361733422
season,0.0396351279235464
2009,0.038349849934070666
fuck,0.03762289433169654
vault,0.036583644817356036
karma,0.03490944624654633
beautiful,0.03476400806801014
soundtrack,0.034431617248780085
happier,0.033696849273697656
linger,0.033512424580006354
thank,0.03278411979248681
break,0.0325963135869778
person,0.03253673132889019
july,0.032458116697120926
2004,0.03243761168431615
2012,0.03212892479121414
evergreen,0.03192055840157078
goes,0.03157270664223586
chain,0.031383000106020645
river,0.03134653867882687
chihiro,0.031341382689590955
youre,0.031092052787858017
john,0.030710097878882864
bridgers,0.03052885052880462
phoebe,0.03052885052880462
strange,0.030169693264411206
mrs,0.03010673266884354
picture,0.03004674068754785
freak,0.02986049628830122
lily,0.02978705325227721
bbc,0.029759920865262805
lounge,0.029759920865262805
half,0.029606815983084636
ring,0.029597125869808633
room,0.02959615639079354
anthem,0.02951021636668468
video,0.029485939540434027
ek,0.029247432722344653
free,0.02924560907872444
art,0.029141961436948745
male,0.02902814795970746
machine,0.028867629320855306
halsey,0.028826997113630633
dies,0.028809656523451597
singh,0.028622378149518
shout,0.028622378149518
watching,0.028455833962284675
film,0.028421227303441172
heaven,0.02794900381099618
partys,0.02784898782753296
hope,0.027749467218106644
girl,0.02771492748767437
bubble,0.027599283328954834
valerie,0.027543793440381915
khalid,0.027144622664062364
motion,0.027112224271172786
2010,0.02695421337429467
feet,0.026944234187768874
wanna,0.026916426600544788
legend,0.02683629736107722
iver,0.026794679944647532
bon,0.026794679944647532
constellations,0.026759998764289455
complex,0.026733291616977056
goodbyes,0.026714913229823962
age,0.026621274042857163
number,0.026433995668923564
sex,0.026413186960708726
stone,0.026260589767133198
older,0.025980674837778626
matter,0.02586173126428978
white,0.025796314151366885
billie,0.02571956335354726
killed,0.025712918251286396
bhula,0.025681414055153378
bonus,0.025540104969198472
acoustic,0.025514168907452197
studios,0.025506881321675785
recorded,0.025506881321675785
fr,0.025494135681219776
mercy,0.025428241438539438
gilded,0.025320821203900012
california,0.0252816205390858
scientist,0.02525830365478488
happiness,0.025206281884247766
girls,0.025188142023517435
isnt,0.024987790447991907
black,0.024905717483784295
people,0.024841536336355625
unsteady,0.024786639601915076
noticed,0.02448161151593609
sienna,0.02444728233312128
miserable,0.024397592514438942
berghain,0.02439333647441229
lovely,0.02439333647441229
cinnamon,0.02433448644672975
nuts,0.024265828081100116
softcore,0.024265828081100116
care,0.024233713297016558
birds,0.024207849194825777
ask,0.024151974001362337
stick,0.024148128025735044
duvet,0.024148128025735044
apologize,0.024071913682267094
13,0.024062169993810893
present,0.024020185516001658
wicked,0.024009781161894235
silver,0.02400772212729336
nate,0.023996098787555147
standing,0.023996098787555147
ruess,0.023996098787555147
jealous,0.0239763212731398
pair,0.023814644535533988
steal,0.023814644535533988
ricochet,0.023812098433853218
reprise,0.023783050718079884
2017,0.02377455474854497
ykwim,0.023757562809475136
heart,0.023705963650403953
real,0.023696296225345637
plastic,0.02358414859377738
rises,0.02358414859377738
lacy,0.02358414859377738
delicate,0.02358414859377738
darker,0.02358414859377738
ishq,0.02358414859377738
malone,0.02358414859377738
post,0.02358414859377738
fortnight,0.02358414859377738
scott,0.023573483469551914
head,0.023498607886101853
father,0.0234756909843799
2006,0.023372927407851577
casual,0.023368365158941407
exit,0.023368365158941407
starman,0.023368365158941407
jealousy,0.023368365158941407
sextape,0.023368365158941407
cheri,0.023368365158941407
1979,0.023368365158941407
light,0.023257073449725666
cherry,0.023147639228929352
soleil,0.023123156710264162
yebbas,0.023123156710264162
salvatore,0.023123156710264162
siriusxm,0.023123156710264162
puppets,0.023123156710264162
bleu,0.023123156710264162
mmrs,0.023123156710264162
reminds,0.023035239993832373
bande,0.023004026931510105
originale,0.023004026931510105
history,0.02288264280025685
normani,0.02286530221007781
angels,0.02285821804110154
fourth,0.022774960713142473
dive,0.022774960713142473
matilda,0.022774960713142473
needy,0.022774960713142473
nutshell,0.022774960713142473
nightmares,0.022774960713142473
eventually,0.022774960713142473
hits,0.022774960713142473
experience,0.022774960713142473
jocelyn,0.022774960713142473
deco,0.022774960713142473
charming,0.022774960713142473
making,0.022774960713142473
grenade,0.022774960713142473
idontwannabeyouanymore,0.022774960713142473
idgaf,0.022774960713142473
flores,0.022774960713142473
table,0.022546235350783535
texas,0.02250461793435385
diet,0.022407148040126605
yell,0.022407148040126605
marvins,0.022407148040126605
drives,0.022407148040126605
10aug,0.022407148040126605
lightning,0.022407148040126605
fluorescent,0.022407148040126605
cider,0.022407148040126605
rebel,0.022407148040126605
bossa,0.022407148040126605
imagine,0.022407148040126605
nova,0.022407148040126605
doin,0.022407148040126605
bored,0.022219792323655015
vas,0.022206359783274416
stevie,0.02218555107505957
goth,0.02201971869121656
sativa,0.02201971869121656
18002738255,0.02201971869121656
yes,0.02201971869121656
lovelate,0.02201971869121656
jacob,0.02201971869121656
ix,0.02201971869121656
immortal,0.02201971869121656
nervous,0.02201971869121656
session,0.022011101113234052
start,0.02196822373939809
destroy,0.021804058091120765
runaway,0.02170010376506065
track,0.021595297490639417
insomniac,0.021553822638729795
kabir,0.021553822638729795
grudge,0.021553822638729795
kaise,0.021553822638729795
invisible,0.021553822638729795
calm,0.021553822638729795
hua,0.021553822638729795
enjoy,0.021553822638729795
step,0.021553822638729795
heal,0.021553822638729795
ranjha,0.021553822638729795
chameleon,0.021553822638729795
disposition,0.021553822638729795
sickness,0.021553822638729795
came,0.021553822638729795
ohs,0.021553822638729795
shershaah,0.021553822638729795
bury,0.021553822638729795
exs,0.021553822638729795
abrams,0.021384415808788075
gracie,0.021384415808788075
shouldve,0.02119178000992996
deserve,0.021155577593946883
master,0.021152132152100347
seasons,0.02107922142163703
comfort,0.021065348949493804
stargirl,0.021063405741375305
shade,0.021063405741375305
jugaste,0.021063405741375305
jar,0.021063405741375305
illicit,0.021063405741375305
mascara,0.021063405741375305
hasi,0.021063405741375305
hotline,0.021063405741375305
ilomilo,0.021063405741375305
girlfriend,0.021063405741375305
build,0.021063405741375305
opened,0.021063405741375305
mirrorball,0.021063405741375305
lives,0.021063405741375305
bitches,0.021063405741375305
snw,0.021063405741375305
gum,0.021063405741375305
bryson,0.021063405741375305
national,0.021051476477350572
justin,0.020957837290383773
bieber,0.020957837290383773
greatest,0.02088500681163182
mustang,0.020850325631273748
eileen,0.020826048805023093
lo,0.020817957350393577
remember,0.020675193655339087
cut,0.020666515375375956
cyrus,0.020666515375375956
cop,0.020562471834301738
notion,0.020559003716265928
ce,0.020528851323258913
rehab,0.020528851323258913
gay,0.020528851323258913
pacify,0.020528851323258913
genesis,0.020528851323258913
idfc,0.020528851323258913
bejeweled,0.020528851323258913
klahoma,0.020528851323258913
soit,0.020528851323258913
gives,0.020528851323258913
completely,0.020528851323258913
gunna,0.020528851323258913
bianche,0.020528851323258913
eden,0.020528851323258913
francis,0.020528851323258913
dry,0.020528851323258913
chest,0.020528851323258913
shirt,0.020528851323258913
romantic,0.02039259172674407
coast,0.020380486287316483
shootout,0.02026768180125811
obsession,0.020229532502864227
nuvole,0.020115084607682587
arr,0.019990232358393523
rockwell,0.01998448856719543
norman,0.01998448856719543
happiest,0.01998448856719543
lego,0.01998448856719543
gpa,0.01998448856719543
hopes,0.01998448856719543
paws,0.01998448856719543
pilgrim,0.01998448856719543
fable,0.01998448856719543
maras,0.01998448856719543
rise,0.01998448856719543
copycat,0.01998448856719543
neck,0.01998448856719543
dirty,0.01998448856719543
humnava,0.01998448856719543
fucking,0.01998448856719543
mere,0.01998448856719543
harness,0.01998448856719543
bside,0.01998448856719543
satellite,0.01998448856719543
bullet,0.019858443873032847
lullaby,0.019792877107504422
song,0.019728718239852627
dont,0.019642791373162008
hands,0.01961152967643525
na,0.019598036518914272
loml,0.019449934149079036
heels,0.019449934149079036
irreplaceable,0.019449934149079036
bascombe,0.019449934149079036
hated,0.019449934149079036
emma,0.019449934149079036
spiderverse,0.019449934149079036
spiderman,0.019449934149079036
static,0.019449934149079036
nmix,0.019449934149079036
dealer,0.019449934149079036
dave,0.019449934149079036
juliet,0.019449934149079036
fighting,0.019449934149079036
coi,0.019449934149079036
mets,0.019449934149079036
metro,0.019449934149079036
jolene,0.019449934149079036
lynn,0.019449934149079036
jack,0.019449934149079036
potato,0.019449934149079036
diane,0.019449934149079036
spooky,0.019449934149079036
boyfriend,0.019449934149079036
boomin,0.019449934149079036
relax,0.019449934149079036
liar,0.019384641127531854
tear,0.019376375466055622
addiction,0.01936943922998401
maniac,0.01916124329108461
vu,0.019157884029799763
deja,0.019157884029799763
wash,0.019033031780510697
animals,0.019022627426403278
breath,0.01901181239776027
clair,0.01899141436408101
logical,0.018920283899936188
breaks,0.018920283899936188
chauhan,0.018920283899936188
diya,0.018920283899936188
naked,0.018920283899936188
sidelines,0.018920283899936188
benny,0.018920283899936188
liability,0.018920283899936188
blanco,0.018920283899936188
miley,0.018920283899936188
darkhaast,0.018920283899936188
xanny,0.018920283899936188
killswitch,0.018920283899936188
ghostin,0.018920283899936188
mein,0.018901243295150017
reasons,0.01884283655905642
hearts,0.018815586750512064
fool,0.01872483238865977
dreamin,0.0186656450682144
mountain,0.01850934595710379
sing,0.01848160101281733
september,0.01844585668703131
mitty,0.018444579509502335
pity,0.018444579509502335
doesnt,0.018444579509502335
onions,0.018444579509502335
race,0.018444579509502335
louise,0.018444579509502335
hozier,0.018444579509502335
kink,0.018444579509502335
heights,0.018444579509502335
nintendo,0.018444579509502335
paralyzed,0.018444579509502335
diner,0.018444579509502335
dining,0.018444579509502335
missin,0.018444579509502335
wyd,0.018444579509502335
emails,0.018444579509502335
moved,0.018444579509502335
seven,0.018444579509502335
centerfold,0.018444579509502335
bellyache,0.018444579509502335
shes,0.018430493917787467
super,0.018412238652101183
gold,0.01837466177688527
october,0.01837110741837208
year,0.01835690930006939
money,0.0182735133999889
omnichord,0.018252705222454046
dean,0.018249237104418236
lewis,0.018249237104418236
everybody,0.018248985194082877
taylor,0.018190279097809514
damage,0.018190279097809514
gone,0.018103975139004743
id,0.01802783006675328
northern,0.01802380943209076
des,0.017992596369768497
marjaavaan,0.017963970950094936
robbers,0.017963970950094936
concerto,0.017963970950094936
knock,0.017963970950094936
156,0.017963970950094936
mis,0.017963970950094936
las,0.017963970950094936
looks,0.017963970950094936
rv,0.017963970950094936
reckoner,0.017963970950094936
christl,0.017963970950094936
dude,0.017963970950094936
halah,0.017963970950094936
ladies,0.017963970950094936
jagah,0.017963970950094936
humdard,0.017963970950094936
dynasty,0.017963970950094936
chances,0.017963970950094936
mariners,0.017963970950094936
elastic,0.017963970950094936
cara,0.017963970950094936
ribs,0.01784346729422878
pluto,0.017839364155452255
projector,0.017839364155452255
loving,0.017785285648312922
beauty,0.017770636815476824
ex,0.01775106261419056
ojos,0.01772208316297552
tristes,0.01772208316297552
friday,0.01764068568761345
reboot,0.017578160967744925
wedding,0.017559081615292575
thorn,0.017517464198862888
breakeven,0.017517464198862888
return,0.017504442252928753
dena,0.017395087349163726
ontario,0.017395087349163726
bomb,0.017395087349163726
blvd,0.017395087349163726
praying,0.017395087349163726
betty,0.017395087349163726
records,0.017395087349163726
hymnal,0.017395087349163726
responsibility,0.017395087349163726
ceiling,0.017395087349163726
gary,0.017395087349163726
murder,0.017395087349163726
lightbody,0.017395087349163726
psychology,0.017395087349163726
clearly,0.017395087349163726
mistake,0.017395087349163726
mohabbat,0.017395087349163726
lame,0.017395087349163726
pass,0.017395087349163726
pointless,0.017395087349163726
lifes,0.017395087349163726
moves,0.017395087349163726
patrol,0.017395087349163726
moon,0.017342475035883643
lil,0.01719301034882865
just,0.01719098881187293
come,0.017177972919281116
tarfa,0.017132503096888275
exile,0.017115162506709237
stronger,0.017028459555814054
la,0.016990001666448592
sweater,0.01696950154920533
