word,pearson_corr
remaster,0.09250936216388793
2011,0.08591421587777504
taylors,0.08390074229002868
version,0.06626265852842672
remastered,0.04673355638247165
feat,0.04672974564035319
season,0.04297896850718757
2009,0.040333638625877744
fuck,0.03925931421521105
vault,0.03916848566384754
beautiful,0.03883202227079353
linger,0.03807305966823477
2004,0.036792951521452705
happier,0.03621868103272861
chain,0.03599510810794604
thank,0.03599510810794598
chihiro,0.035579517795888284
karma,0.035481003611512206
july,0.035163927483830536
person,0.03509614141974194
2012,0.03475677939939995
evergreen,0.03474833717177273
break,0.0343582818671521
anthem,0.033501566235599495
goes,0.033279425609050735
youre,0.033271585006857354
soundtrack,0.03312032845168954
john,0.032381245257005094
mrs,0.03225479529942634
bridgers,0.03204188323666288
phoebe,0.03204188323666288
half,0.03192494657273667
freak,0.031839204987368606
video,0.03142361467531082
partys,0.03142361467531076
bbc,0.031423614675310754
lounge,0.031423614675310754
river,0.03125818587796624
noticed,0.031032748500465352
ring,0.031023797175636525
halsey,0.031008024363253034
lily,0.030928021270108415
picture,0.03065738748541893
strange,0.030634095727740614
male,0.03059243405119534
film,0.030592434051195307
dies,0.03059243405119524
sienna,0.03044507383280503
ek,0.03034017018537283
art,0.03034017018537283
girl,0.030242142607623573
singh,0.030176843739137565
shout,0.03017684373913752
hope,0.030033627499143997
khalid,0.030005711114610176
machine,0.02998091717562675
free,0.029958216895592096
lovely,0.029857399165145015
berghain,0.02985739916514495
scientist,0.029761253427079807
watching,0.02966634909426798
goodbyes,0.029345663115022055
cinnamon,0.029269724497484773
bon,0.0289300728029645
iver,0.0289300728029645
valerie,0.02893007280296424
bubble,0.028930072802964214
softcore,0.028682049829824505
nuts,0.02868204982982439
heaven,0.02857818753116929
age,0.028514482490906535
2010,0.028514482490906472
constellations,0.02809889217884874
legend,0.028098892178848704
stick,0.028094375162164363
duvet,0.02809437516216416
bonus,0.028084730223544165
number,0.027683301866791007
mercy,0.027683301866791
sex,0.02768330186679096
stone,0.027683301866790945
nate,0.027506700494504085
ruess,0.027506700494504085
standing,0.027506700494504054
complex,0.027400914761694827
feet,0.02740091476169482
billie,0.02726771155473326
fr,0.027267711554733204
steal,0.026919025826843915
pair,0.02691902582684376
bhula,0.026852121242675546
wicked,0.026852121242675484
room,0.02667758389842049
older,0.026612090911188827
white,0.026519138134591506
happiness,0.026436530930617933
isnt,0.02643653093061769
motion,0.02636860744965
lacy,0.026331351159183652
plastic,0.026331351159183627
delicate,0.026331351159183544
fortnight,0.02633135115918354
malone,0.02633135115918354
post,0.02633135115918354
darker,0.026331351159183537
ishq,0.02633135115918353
rises,0.02633135115918353
matter,0.02627272889084677
gilded,0.02627272889084673
unsteady,0.026020940618560025
casual,0.02574367649152351
cheri,0.025743676491523433
1979,0.02574367649152343
jealousy,0.02574367649152333
exit,0.02574367649152332
sextape,0.025743676491523315
starman,0.02574367649152331
recorded,0.025637361507488184
studios,0.025637361507488184
killed,0.025637361507488122
ricochet,0.025605350306502253
people,0.02555701265039481
california,0.025257339625032665
care,0.02524833356463589
ask,0.02518975999444467
present,0.02518975999444446
head,0.025164545254951882
siriusxm,0.025156001823863298
mmrs,0.025156001823863256
salvatore,0.02515600182386323
puppets,0.02515600182386315
yebbas,0.025156001823863138
bleu,0.025156001823863097
soleil,0.025156001823863097
wanna,0.024933453884731574
start,0.02492450800386489
miserable,0.02491528080947827
track,0.024807762699773528
father,0.024774169682386684
girls,0.02472249094119245
reprise,0.024575918789136158
ykwim,0.024575918789136158
2017,0.02457591878913613
matilda,0.024568327156203097
grenade,0.024568327156203062
needy,0.02456832715620305
idontwannabeyouanymore,0.024568327156203048
deco,0.024568327156203027
charming,0.024568327156203013
making,0.024568327156203006
flores,0.024568327156202992
jocelyn,0.024568327156202992
nightmares,0.024568327156202982
eventually,0.02456832715620298
dive,0.024568327156202968
fourth,0.024568327156202968
experience,0.024568327156202965
nutshell,0.0245683271562029
hits,0.0245683271562029
idgaf,0.024568327156202895
birds,0.024236556768793948
13,0.024167733795649238
acoustic,0.02400727196455747
marvins,0.023980652488542885
imagine,0.023980652488542763
doin,0.02398065248854276
diet,0.023980652488542743
drives,0.02398065248854273
lightning,0.023980652488542725
rebel,0.023980652488542704
bossa,0.023980652488542704
nova,0.023980652488542704
yell,0.023980652488542704
10aug,0.023980652488542687
fluorescent,0.023980652488542684
cider,0.023980652488542677
history,0.023942989058271243
originale,0.02394298905827123
bande,0.02394298905827123
reminds,0.023942989058271205
normani,0.023942989058271174
coast,0.023873808253281385
jealous,0.023579882710913616
2006,0.02357988271091361
apologize,0.02355783272810972
texas,0.023527398746213558
table,0.023527398746213464
sativa,0.023392977820882645
immortal,0.0233929778208826
nervous,0.023392977820882586
jacob,0.023392977820882586
18002738255,0.02339297782088256
lovelate,0.02339297782088255
ix,0.023392977820882503
yes,0.023392977820882503
goth,0.02339297782088246
vas,0.02311180843415573
stevie,0.023111808434155643
scott,0.022879108687425497
light,0.02284841994367507
grudge,0.02280530315322246
heal,0.022805303153222378
enjoy,0.022805303153222364
step,0.022805303153222354
disposition,0.022805303153222354
sickness,0.02280530315322233
chameleon,0.022805303153222323
invisible,0.022805303153222312
bury,0.022805303153222267
calm,0.022805303153222257
came,0.022805303153222253
ohs,0.022805303153222246
exs,0.022805303153222246
insomniac,0.022805303153222243
ranjha,0.022805303153222233
shershaah,0.022805303153222233
hua,0.02280530315322223
kabir,0.02280530315322223
